,,Weight,Weight,Weight,Weight,Weight,Weight,Value,Value,Value,Value,Value,Value,Item_Count,Item_Count,Item_Count,Item_Count,Item_Count,Item_Count
ENDUSE,,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","CAPITAL GOODS, EXCEPT AUTOMOTIVE",CONSUMER GOODS,"FOODS, FEEDS, AND BEVERAGES",INDUSTRIAL SUPPLIES AND MATERIALS,OTHER GOODS,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","CAPITAL GOODS, EXCEPT AUTOMOTIVE",CONSUMER GOODS,"FOODS, FEEDS, AND BEVERAGES",INDUSTRIAL SUPPLIES AND MATERIALS,OTHER GOODS,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","CAPITAL GOODS, EXCEPT AUTOMOTIVE",CONSUMER GOODS,"FOODS, FEEDS, AND BEVERAGES",INDUSTRIAL SUPPLIES AND MATERIALS,OTHER GOODS
Date,District,,,,,,,,,,,,,,,,,,
2019-03,"EL PASO, TX",2245787,10691121,4490146,976973,4314007,9074,1516327792,2868393572,441330783,148737051,258303913,61637568,114368,128595,55148,6122,39796,5944
2019-03,"GREAT FALLS, MT",1693550,15684635,18073679,3513773,25674502,166067,52378356,392474245,178470387,305488825,1345997012,158562449,1904,12357,13110,10304,22330,5238
2019-03,"HONOLULU, HI",72312,1278046,1829785,5566558,128528610,15384,29495544,41499245,15702187,15937907,260580809,1264925,172,254,4131,974,752,56
2019-03,"HOUSTON-GALVESTON, TX",21196069,139491341,133380025,201469297,694999004,6073755,508607636,2132643288,638732136,440640366,3452741194,221244762,12733,37447,36618,13184,38209,2869
2019-03,"LAREDO, TX",1627509,14856743,612095,656575,6926743,55221,8065344866,4371080638,1713235428,1725061043,1380296587,227513905,371134,218175,175891,92133,109568,15837
2019-03,"LOS ANGELES, CA",189680466,284899917,835445575,427570923,660780196,3599775,2740931567,6673511939,8008061538,1039527536,2956103831,372636121,62774,160704,465419,33068,82820,8835
2019-03,LOW VALUE,,,,,,0,,,,,,1574016893,,,,,,223
2019-03,"MIAMI, FL",12469471,22641755,99627986,277216090,217349236,3890430,151275533,827116478,1459180406,623454263,606749016,351087269,7345,21124,102770,29012,15475,7216
2019-03,"MILWAUKEE, WI",176594,3484610,616238,1617,163069,3462,4813800,38785494,20746526,1591127,2435960,8994070,267,3255,862,4,563,148
2019-03,"MINNEAPOLIS, MN",4087078,15273523,13737594,5923973,29682811,177953,58928744,342244279,168057256,20751448,579457195,21425197,2181,13451,9321,766,7423,724
2019-03,"MOBILE, AL",31326875,14439289,38122948,52330686,63539451,213841,312663604,265733403,437687918,24665288,746594174,138474954,6727,6538,25152,1051,5735,205
2019-03,"NEW ORLEANS, LA",31989199,48804186,52818181,42100793,265592736,1058374,549490190,3991401397,1735023184,129424931,3006227170,589457652,19886,131839,79987,1806,46600,25569
2019-03,"NEW YORK CITY, NY",72898634,129068451,406365152,724790605,602317443,5044673,1670960842,3358904691,8335111869,1875918990,3952405085,934335377,41317,106497,432475,71959,87547,12027
2019-03,"NOGALES, AZ",108041,384285,4769205,144768,827089,740,473939446,624738041,144099824,549780854,145746809,119804591,24174,33420,14644,47420,7710,6674
2019-03,"NORFOLK, VA",52649527,63284266,137381069,84753333,207849664,1774764,314511171,834607663,898009578,210323786,517541801,36451702,9407,22168,51376,6896,18809,777
2019-03,"OGDENSBURG, NY",0,0,72,0,24043,0,175919873,366996326,402950178,209168983,1198817367,143289543,7071,16767,53195,14116,50787,5011
2019-03,"PEMBINA, ND",12318,314378,0,0,42402,0,98713612,310505122,194080169,283153347,717785667,206542347,3539,12520,8740,12424,28816,4683
2019-03,"PHILADELPHIA, PA",18764656,19216882,28211678,397458766,94821466,1294696,329387558,609512063,1532948970,849766125,1680923255,79348298,12092,29539,39111,16110,15997,1960
2019-03,"PORT ARTHUR, TX",,0,0,,20343915,0,,54323612,366507,,1272441091,409052,,16,4,,245,2
2019-03,"PORTLAND, ME",2324,1871582,1413690,5745192,3135509,24615,39459121,148411879,271347591,167417273,373036565,96817485,3712,1164,2762,8609,8799,669
2019-03,"PROVIDENCE, RI",0,506,1878,0,0,0,674580939,459043,10427394,1513626,98683424,32094,12779,18,705,3,68,7
2019-03,"SAN DIEGO, CA",817127,210167,661293,51431720,222533,0,1259883169,1192766342,835264102,487091970,221083736,173515256,18576,59768,69308,32567,30084,10766
2019-03,"SAN FRANCISCO, CA",27193381,46619271,84170257,213997629,257162739,1215593,935014173,3194806459,739281930,523872338,1458531317,167090012,14159,67784,64276,14534,20232,6649
2019-03,"SAN JUAN, PR",2814994,5326635,20950793,51511882,244850647,604472,100934812,103087999,946194747,91137832,859000236,25602843,934,2598,7512,2806,3222,375
2019-03,"SAVANNAH, GA",102521474,167990472,321976082,128217530,483852428,3964376,1661387667,3424498557,3234738305,945125913,1579334276,355745080,36637,79505,148957,9471,56860,6106
2019-03,"SEATTLE, WA",29133235,51220742,137848647,90922074,146548960,2221638,616256366,2114636922,1218434124,419867479,1679730873,240152810,12325,38586,81919,20905,49025,8059
2019-03,"ST. ALBANS, VT",0,0,13747,0,0,16828,13333049,521053911,54161918,51367395,249990729,19560414,791,8701,7053,2976,17189,1289
2019-03,"ST. LOUIS, MO",11057087,28177849,42360761,18996512,88937339,1423506,56132367,375105163,325261086,55338875,765996163,33664163,3372,13568,21820,1661,11509,1816
2019-03,"TAMPA, FL",13978657,36569780,49980191,119702135,90783423,321079,1316800180,350426846,412348521,173345402,632462689,32047000,16597,6494,28769,3338,7573,594
2019-03,U.S. VIRGIN ISLANDS,141929,42786,35487,847877,63196,0,134012,106018,3167296,2462498,187999533,655752,24,7,63,56,26,4
2019-03,VESSELS UNDER OWN POWER,,0,,,,,,350000,,,,,,1,,,,
2019-03,"WASHINGTON, DC",1111,3975,450282,29321,3180,3116,9839292,238784514,381905494,9114224,29245961,23773617,783,9083,3805,380,2851,557
2019-03,"WILMINGTON, NC",5814252,18369079,33058000,3387454,89608532,153860,37091554,406522008,1365819810,19591732,256491853,454825874,1937,16716,18339,317,9732,727
2019-04,"ANCHORAGE, AK",12325,200110,41866,43960,4446171,0,6713343,799786991,67626190,383429,78981486,172811795,578,21558,7158,13,3462,2488
2019-04,"BALTIMORE, MD",20125417,38983587,54825861,103427603,252903214,973744,1478910726,800883399,487272199,361785144,964581343,33091913,11668,11109,24704,7632,13148,307
2019-04,"BOSTON, MA",3400741,9831368,22920044,27971508,44534560,781856,68722211,628389480,531329143,133442044,643450568,109607157,1133,25352,18402,4745,9345,2114
